python,cython
4.38136,0.354633
4.37619,0.346526
4.31349,0.356270
4.45974,0.387207
4.03867,0.366732
4.22200,0.358278
4.45522,0.361847
4.00820,0.361881
4.17319,0.363331
4.22990,0.361703
4.37435,0.351743
4.36445,0.350852
3.76802,0.378547
4.39999,0.364800
4.30880,0.358616
4.50225,0.357721
3.86094,0.375739
4.42705,0.393227
4.40481,0.388530
3.90813,0.374030
4.34296,0.359512
4.37292,0.359022
4.25275,0.391017
4.19092,0.364604
4.27034,0.361206
3.95960,0.367858
4.40582,0.364842
4.20002,0.371425
4.41274,0.367649
3.91830,0.354818
